web-scraper-order,web-scraper-start-url,Artikkel,Artikkel-href,Tittel,Bilde-src
"1583241792-1","https://www.vg.no/nyheter/","Pasientombud om coronasmitte på Ullevål sykehus: – Må gjenopprette tillit02.03.20","https://www.vg.no/nyheter/innenriks/i/6j0Ogo/pasientombud-om-coronasmitte-paa-ullevaal-sykehus-maa-gjenopprette-tillit","Pasientombud om coronasmitte på Ullevål sykehus: – Må gjenopprette tillit","https://smp.vgc.no/v2/images/f29decc9-f483-41b3-b323-bb0311ff836d?fit=crop&h=1267&w=1900&s=43c1ce560cd46c050a4b9211af740d1a5a1dd290"
"1583241805-7","https://www.vg.no/nyheter/","Dennis fikk falsk FHI-melding: «Hold deg isolert»02.03.20","https://www.vg.no/nyheter/innenriks/i/zGy2bv/dennis-fikk-falsk-fhi-melding-hold-deg-isolert","Dennis fikk falsk FHI-melding: «Hold deg isolert»","https://smp.vgc.no/v2/images/8fc72f59-5d56-45a1-acc5-65aa513aee59?fit=crop&h=1425&w=1900&s=2e7b154567c5984c5689fac0745fae9dcc613d18"
"1583241797-3","https://www.vg.no/nyheter/","Samholdet i Norge er i ferd med å rakne02.03.20","https://www.vg.no/nyheter/meninger/i/jdJW1w/samholdet-i-norge-er-i-ferd-med-aa-rakne","Samholdet i Norge er i ferd med å rakne","https://smp.vgc.no/v2/images/87aa794d-0a60-4bec-a431-fed7a8e6c57b?fit=crop&h=1267&w=1900&s=ad6ca1c926f757804212eb7b8550dafc68b95783"
"1583241831-18","https://www.vg.no/nyheter/","Hva gjør du nå, Grete Ingeborg Nykkelmo?02.03.20","https://www.vg.no/nyheter/i/pLk6nE/hva-gjoer-du-naa-grete-ingeborg-nykkelmo","Hva gjør du nå, Grete Ingeborg Nykkelmo?","https://smp.vgc.no/v2/images/79c6732f-a06a-4797-b9ed-f922f632b03f?fit=crop&h=1267&w=1900&s=a956abe92bdc85ea77a03129e42008b613053fdc"
"1583241837-21","https://www.vg.no/nyheter/","Støre angriper Vedum i Sp-sjefens bakgård02.03.20","https://www.vg.no/nyheter/innenriks/i/XgLkqo/stoere-angriper-vedum-i-sp-sjefens-bakgaard","Støre angriper Vedum i Sp-sjefens bakgård","https://smp.vgc.no/v2/images/a19e3b28-32ee-49dc-8138-bc733c897963?fit=crop&h=1385&w=1900&s=d335a634a256f4bf1542ff70a124b46001f02b25"
"1583241843-24","https://www.vg.no/nyheter/","Supertirsdag i Texas: – Hvis de stemmer, stemmer de for Bernie03.03.20","https://www.vg.no/nyheter/utenriks/i/e8o8PQ/supertirsdag-i-texas-hvis-de-stemmer-stemmer-de-for-bernie","Supertirsdag i Texas: – Hvis de stemmer, stemmer de for Bernie","https://smp.vgc.no/v2/images/73935443-02d4-4322-adc0-80290c90e55e?fit=crop&h=1267&w=1900&s=76f28e7ab99cc0a35d325925cc5def43b02e7929"
"1583241807-8","https://www.vg.no/nyheter/","Trettebergstuen til Dagbladet: – Kunne ønske Giske lot partiet få ro 02.03.20","https://www.vg.no/nyheter/innenriks/i/MRbgdm/trettebergstuen-til-dagbladet-kunne-oenske-giske-lot-partiet-faa-ro","Trettebergstuen til Dagbladet: – Kunne ønske Giske lot partiet få ro","https://smp.vgc.no/v2/images/cbb3f826-4fba-42b8-bedc-5511cf041adb?fit=crop&h=1267&w=1900&s=5793af4b79027d3aa9d52db100dc7806c147b9af"
"1583241866-34","https://www.vg.no/nyheter/","«25 under 25»: – Har det klikka for denne generasjonen? 03.03.20","https://www.vg.no/nyheter/meninger/i/1nGGvQ/25-under-25-har-det-klikka-for-denne-generasjonen","«25 under 25»: – Har det klikka for denne generasjonen?","https://smp.vgc.no/v2/images/e27e8435-359b-46b3-9ac8-da42cb340dc6?fit=crop&h=304&w=298&s=5e5dc48a3d0a6ddeb136b143c090cdce33b09537"
"1583241824-15","https://www.vg.no/nyheter/","A new sheriff in town02.03.20","https://www.vg.no/nyheter/meninger/i/mR46mg/a-new-sheriff-in-town","A new sheriff in town","https://smp.vgc.no/v2/images/82c7ab2f-bab9-4eea-b745-389abccbada7?fit=crop&h=1267&w=1900&s=4b2ad64f0da0aef4b79af38b427d458fc43ea123"
"1583241799-4","https://www.vg.no/nyheter/","VG mener: Det er nå brexit-kampen begynner02.03.20","https://www.vg.no/nyheter/meninger/i/3JdAAX/vg-mener-det-er-naa-brexit-kampen-begynner","VG mener: Det er nå brexit-kampen begynner","https://smp.vgc.no/v2/images/f68abbee-e9ce-403c-960f-14b7d1097199?fit=crop&h=1267&w=1900&s=63b842ead72cb13233078376b9dd87b57a6af1bd"
